Class,Data
01,"-361.57635,9.746521,2.7922015,21.912422,-22.934687,1.3371544,-4.326044,-10.000948,-9.064903,-2.5375056,-17.841848,13.961167,-11.680201,10.004323,-4.3024654,1.333944,-0.745026,0.034269832,-11.080852,5.82426"
01,"-342.78717,27.254152,-11.907216,13.079578,-19.379606,0.9182269,2.862078,-12.889774,-4.865214,2.0916195,-16.494576,14.706995,-14.788627,11.281187,-2.7930605,-1.2205125,-2.4701772,2.0305104,-9.556506,1.5501586"
01,"-356.93613,20.810898,0.36795422,14.868554,-15.924866,0.6473697,0.96476847,-16.923538,-10.350789,-4.92659,-18.907572,10.209428,-13.813415,12.62818,-3.905516,-0.47509977,-0.46318808,4.3600707,-8.146916,4.6464047"
01,"-282.69217,48.728394,-13.714653,18.06351,-10.9839115,-1.9372759,0.42911944,-10.001602,-6.0422387,6.68407,-16.776005,12.302389,-13.183879,4.4239125,0.35421166,-4.331325,-3.851498,-1.1505538,-9.544251,1.388011"
01,"-356.01163,19.448196,-1.632917,8.243571,-20.054995,5.6510353,-1.8825259,-11.517761,-6.3296175,-2.8402555,-15.380111,8.631558,-12.881609,12.857509,-8.900561,3.5350003,-3.846963,3.2000854,-7.151821,5.927762"
01,"-321.22678,12.8834715,-4.679543,20.376972,-18.898447,-2.8031957,-2.6264808,-12.469071,-11.140463,0.49066985,-19.205425,12.645402,-12.674251,8.926915,-4.66108,-1.2509167,-2.4706793,2.1695423,-9.082054,5.990531"
01,"-343.762,42.329643,-4.0584517,4.807116,-22.719519,6.6082473,-4.8937087,-24.787584,-12.677461,2.3422217,-24.795963,12.4082575,-17.102482,8.674443,-4.2375836,-5.391811,-1.4082941,0.78940195,-6.926978,5.230236"
01,"-370.55283,18.922628,0.9644277,19.43304,-22.789543,3.4808953,-1.5372066,-10.944193,-5.662598,-0.007955589,-17.197868,13.718615,-13.772546,12.757922,-4.140278,2.3017402,-0.4608958,0.51922417,-7.4608736,2.4954464"
01,"-324.84235,52.00882,-19.917217,3.288694,-20.547586,-0.12348366,0.28360492,-14.44842,-12.759948,3.937534,-16.112577,12.064394,-13.18777,7.4228115,-3.722257,-5.3498907,-2.033597,-1.5219203,-8.075341,-2.640235"
01,"-349.2191,35.618893,-10.139718,27.311592,-14.265935,-7.425373,0.2700481,-20.889864,-7.467969,-2.4575999,-16.901695,11.719716,-14.966505,7.575088,-2.9637942,-1.0397826,-2.6224802,-0.38893545,-10.917152,2.5931287"
01,"-309.68686,38.788082,0.54554766,11.70762,-39.946487,-13.452448,-1.5473381,-17.671473,-9.660403,3.4778504,-18.437674,9.822794,-13.485575,6.8701353,-4.5511217,-1.7171384,-4.1898518,1.5668231,-11.029556,2.2007935"
01,"-326.31424,26.962683,-5.2929907,23.257122,-27.54937,-2.056353,-8.976686,-21.289495,-14.500548,-0.03736554,-22.190126,13.271747,-15.48546,5.785127,-1.3968307,-4.816457,-0.48847705,2.184225,-10.156449,5.0253572"
01,"-291.61575,28.032179,0.8246313,20.776024,-9.221832,4.7965093,-4.6722097,-14.217433,-5.535881,0.402979,-16.061378,13.045163,-13.895884,7.0765057,-4.1063275,-1.9453329,-4.807295,2.2517617,-12.543483,3.6425972"
01,"-340.3345,37.610573,-6.876279,25.314795,-26.577705,-1.4915771,-5.406355,-21.398611,-10.428,-0.9940974,-20.181606,11.035869,-18.636778,10.707935,-5.251729,-1.52941,-1.3718272,-2.0768957,-9.017961,0.8233351"
01,"-320.4089,24.42752,-23.173737,7.4039645,-21.584085,3.660118,-4.8473516,-10.140687,-10.552208,4.568388,-20.094286,12.763023,-11.393941,6.897991,-1.9420394,-3.899853,-3.943901,1.9959389,-6.8569016,6.075023"
01,"-329.78552,39.783478,4.3296523,12.304562,-39.851837,2.0178502,2.5731432,-7.741459,-9.179879,-3.0209625,-13.222004,5.6636696,-13.268964,8.547345,-6.1667194,1.1778998,-6.1589236,1.7046316,-10.364925,6.4252462"
01,"-246.45773,31.221014,-29.198313,25.956005,-16.1824,6.804627,-2.3898702,-9.544392,-10.173054,6.399787,-18.013178,12.574429,-8.936662,2.9845612,-2.556946,-7.6508183,-7.061185,0.35712758,-12.3927555,0.7890412"
01,"-318.10724,9.54753,-5.6058207,25.675602,-22.584244,-8.008937,-1.830519,-11.758443,-6.4057565,1.0803913,-16.585884,12.780035,-13.169243,9.007755,-5.0846505,0.025245069,-2.4558377,0.6789145,-8.799894,5.388208"
01,"-360.57135,33.75044,-18.345346,9.826077,-20.279552,4.8060613,-0.6452897,-10.551203,-4.2900167,1.7267222,-16.309757,8.333761,-10.420695,8.900004,-4.6149535,-3.9847233,-2.9138014,0.5023879,-9.641438,4.683312"
01,"-314.6962,42.170624,2.3322916,27.541018,-16.515121,-7.3604674,-2.2387433,-20.702173,-15.1654215,-0.5970633,-17.00455,8.498916,-18.271238,8.487115,-9.982856,-0.40167817,-1.6548012,-3.1585329,-9.722182,1.4626727"
01,"-319.00626,22.281313,-16.367216,25.543709,-26.747482,-10.712119,-1.3167446,-19.536333,-12.343845,-0.46800143,-22.00875,13.893935,-17.235561,7.8349533,-2.53265,-4.383554,-3.8198032,1.4480493,-12.532892,4.2687583"
01,"-294.77228,32.258286,-23.063057,9.642844,-31.66381,-2.6688015,-3.6008687,-18.44995,-9.745714,1.1603228,-17.696726,12.564865,-18.579376,10.8390255,-7.2640705,-1.0510132,-4.854718,0.26083142,-6.3107343,3.7323294"
01,"-324.93802,5.104814,-2.945364,19.074255,-21.800564,-8.498271,-5.6533537,-9.581493,-10.753328,2.7017174,-18.634205,14.92292,-10.9684,8.653443,-3.8062432,-1.0545186,-3.2437174,1.1511061,-8.41535,5.8653917"
01,"-361.27066,56.2954,15.084913,11.42859,-38.218403,-5.4989743,-0.77285224,-14.001804,-8.798723,1.0044577,-16.00573,6.3775654,-12.484541,10.1035385,-9.212796,5.0855746,-3.9513028,0.053626552,-9.386683,1.1553984"
01,"-279.5633,63.60234,-8.6166725,14.451332,-25.419245,-4.4986424,7.106321,-22.682138,-3.5923922,5.618405,-16.864197,13.118994,-16.041115,6.8454566,-9.791314,-1.8501807,-8.195741,-3.454153,-11.250209,-1.7116328"
01,"-273.0583,69.81824,-0.64283043,-1.224771,-27.063004,0.09971675,-2.3176434,-18.24022,-1.5653825,5.072713,-19.343533,19.637014,-19.435068,11.552909,-6.6749587,-8.389755,-6.247912,-4.0448704,-10.433554,1.3139573"
01,"-333.019,15.821297,-20.00433,19.563526,-32.108707,6.523703,0.6247287,-12.110568,-6.397617,2.9423661,-16.24897,9.33863,-12.404259,6.9482403,-2.4709096,-1.0420152,-4.6929026,-0.14789215,-10.674359,5.538118"
01,"-241.5668,44.400463,-7.3759017,23.646383,-28.895325,-12.20323,-3.4049187,-22.395668,-7.833693,2.1010258,-18.243736,16.192947,-17.49915,8.462639,-8.592985,-4.517684,-5.3651047,-4.8216357,-13.880114,1.3154925"
